#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               339                 1           0.84059         0.0146991
               340                 1          0.841059         0.0146634
               341                 1          0.841525         0.0146278
               342                 1          0.841988         0.0145923
               343                 1          0.842449         0.0145571
               344                 1          0.842907         0.0145219
               345                 1          0.843362          0.014487
               346                 1          0.843815         0.0144522
               347                 1          0.844265         0.0144175
               348                 1          0.844713         0.0143831
               349                 1          0.845158         0.0143487
               350                 1            0.8456         0.0143145
               351                 1           0.84604         0.0142805
               352                 1          0.846477         0.0142467
               353                 1          0.846912         0.0142129
               354                 1          0.847345         0.0141794
               355                 1          0.847775         0.0141459
               356                 1          0.848202         0.0141127
               357                 1          0.848627         0.0140795
               358                 1           0.84905         0.0140466
               359                 1          0.849471         0.0140137
               360                 1          0.849889          0.013981
               361                 1          0.850305         0.0139485
               362                 1          0.850718         0.0139161
               363                 1          0.851129         0.0138838
               364                 1          0.851538         0.0138517
               365                 1          0.851945         0.0138197
               366                 1           0.85235         0.0137879
               367                 1          0.852752         0.0137562
               368                 1          0.853152         0.0137246
               369                 1           0.85355         0.0136932
               370                 1          0.853946         0.0136619
               371                 1           0.85434         0.0136307
               372                 1          0.854731         0.0135997
               373                 1          0.855121         0.0135688
               374                 1          0.855508         0.0135381
               375                 1          0.855893         0.0135075
               376                 1          0.856277          0.013477
               377                 1          0.856658         0.0134466
               378                 1          0.857037         0.0134164
               379                 1          0.857414         0.0133863
               380                 1          0.857789         0.0133563
               381                 1          0.858163         0.0133265
               382                 1          0.858534         0.0132968
               383                 1          0.858903         0.0132672
               384                 1          0.859271         0.0132377
               385                 1          0.859636         0.0132084
               386                 1              0.86         0.0131792
               387                 1          0.860362         0.0131501
               388                 1          0.860722         0.0131211
               389                 1           0.86108         0.0130923
               390                 1          0.861436         0.0130635
               391                 1           0.86179         0.0130349
               392                 1          0.862143         0.0130065
               393                 1          0.862494         0.0129781
               394                 1          0.862843         0.0129498
               395                 1           0.86319         0.0129217
               396                 1          0.863535         0.0128937
               397                 1          0.863879         0.0128658
               398                 1          0.864221          0.012838
               399                 1          0.864561         0.0128104
               400                 1            0.8649         0.0127828
               401                 1          0.865237         0.0127554
               402                 1          0.865572          0.012728
               403                 1          0.865906         0.0127008
               404                 1          0.866238         0.0126737
               405                 1          0.866568         0.0126467
               406                 1          0.866897         0.0126199
               407                 1          0.867224         0.0125931
               408                 1          0.867549         0.0125664
               409                 1          0.867873         0.0125399
               410                 1          0.868195         0.0125134
               411                 1          0.868516         0.0124871
               412                 1          0.868835         0.0124609
               413                 1          0.869153         0.0124347
               414                 1          0.869469         0.0124087
               415                 1          0.869783         0.0123828
               416                 1          0.870096          0.012357
               417                 1          0.870408         0.0123313
               418                 1          0.870718         0.0123057
               419                 1          0.871026         0.0122802
               420                 1          0.871333         0.0122548
               421                 1          0.871639         0.0122295
               422                 1          0.871943         0.0122043
               423                 1          0.872246         0.0121792
               424                 1          0.872547         0.0121542
               425                 1          0.872847         0.0121293
               426                 1          0.873146         0.0121045
               427                 1          0.873443         0.0120798
               428                 1          0.873738         0.0120552
               429                 1          0.874033         0.0120307
               430                 1          0.874326         0.0120063
               431                 1          0.874617         0.0119819
               432                 1          0.874907         0.0119577
               433                 1          0.875196         0.0119336
               434                 1          0.875484         0.0119096
               435                 1           0.87577         0.0118856
               436                 1          0.876055         0.0118618
               437                 1          0.876339          0.011838
               438                 1          0.876621         0.0118144
               439                 1          0.876902         0.0117908
               440                 1          0.877182         0.0117673
               441                 1           0.87746         0.0117439
               442                 1          0.877738         0.0117206
               443                 1          0.878014         0.0116974
               444                 1          0.878288         0.0116743
               445                 1          0.878562         0.0116513
               446                 1          0.878834         0.0116283
               447                 1          0.879105         0.0116055
               448                 1          0.879375         0.0115827
               449                 1          0.879644           0.01156
               450                 1          0.879911         0.0115374
               451                 1          0.880177         0.0115149
               452                 1          0.880442         0.0114925
               453                 1          0.880706         0.0114701
               454                 1          0.880969         0.0114479
               455                 1          0.881231         0.0114257
               456                 1          0.881491         0.0114036
               457                 1          0.881751         0.0113816
               458                 1          0.882009         0.0113597
               459                 1          0.882266         0.0113379
               460                 1          0.882522         0.0113161
               461                 1          0.882777         0.0112944
               462                 1           0.88303         0.0112728
               463                 1          0.883283         0.0112513
               464                 1          0.883534         0.0112299
               465                 1          0.883785         0.0112085
               466                 1          0.884034         0.0111872
               467                 1          0.884283          0.011166
               468                 1           0.88453         0.0111449
               469                 1          0.884776         0.0111239
               470                 1          0.885021         0.0111029
               471                 1          0.885265          0.011082
               472                 1          0.885508         0.0110612
               473                 1          0.885751         0.0110405
               474                 1          0.885992         0.0110198
               475                 1          0.886232         0.0109992
               476                 1          0.886471         0.0109787
               477                 1          0.886709         0.0109583
               478                 1          0.886946         0.0109379
               479                 1          0.887182         0.0109176
               480                 1          0.887417         0.0108974
               481                 1          0.887651         0.0108773
               482                 1          0.887884         0.0108572
               483                 1          0.888116         0.0108372
               484                 1          0.888347         0.0108173
               485                 1          0.888577         0.0107974
               486                 1          0.888807         0.0107776
               487                 1          0.889035         0.0107579
               488                 1          0.889262         0.0107383
               489                 1          0.889489         0.0107187
               490                 1          0.889714         0.0106992
               491                 1          0.889939         0.0106798
               492                 1          0.890163         0.0106604
               493                 1          0.890385         0.0106411
               494                 1          0.890607         0.0106219
               495                 1          0.890828         0.0106027
               496                 1          0.891048         0.0105836
               497                 1          0.891268         0.0105646
               498                 1          0.891486         0.0105456
               499                 1          0.891703         0.0105268
               500                 1           0.89192         0.0105079
               501                 1          0.892136         0.0104892
               502                 1          0.892351         0.0104705
               503                 1          0.892565         0.0104518
               504                 1          0.892778         0.0104333
               505                 1           0.89299         0.0104148
               506                 1          0.893202         0.0103963
               507                 1          0.893412          0.010378
               508                 1          0.893622         0.0103597
               509                 1          0.893831         0.0103414
               510                 1          0.894039         0.0103232
               511                 1          0.894247         0.0103051
