#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               342           166.667           130.295           3.27171
               343           166.667           130.401           3.26389
               344           166.667           130.506            3.2561
               345           166.667           130.611           3.24835
               346           166.667           130.715           3.24063
               347           166.667           130.819           3.23295
               348           166.667           130.922            3.2253
               349           166.667           131.024           3.21769
               350           166.667           131.126            3.2101
               351           166.667           131.227           3.20255
               352           166.667           131.328           3.19504
               353           166.667           131.428           3.18756
               354           166.667           131.528           3.18011
               355           166.667           131.627           3.17269
               356           166.667           131.725            3.1653
               357           166.667           131.823           3.15795
               358           166.667            131.92           3.15063
               359           166.667           132.017           3.14334
               360           166.667           132.113           3.13608
               361           166.667           132.209           3.12885
               362           166.667           132.304           3.12166
               363           166.667           132.399           3.11449
               364           166.667           132.493           3.10736
               365           166.667           132.587           3.10025
               366           166.667            132.68           3.09318
               367           166.667           132.772           3.08614
               368           166.667           132.864           3.07913
               369           166.667           132.956           3.07215
               370           166.667           133.047           3.06519
               371           166.667           133.138           3.05827
               372           166.667           133.228           3.05138
               373           166.667           133.318           3.04451
               374           166.667           133.407           3.03768
               375           166.667           133.495           3.03087
               376           166.667           133.584           3.02409
               377           166.667           133.671           3.01735
               378           166.667           133.759           3.01063
               379           166.667           133.846           3.00393
               380           166.667           133.932           2.99727
               381           166.667           134.018           2.99063
               382           166.667           134.103           2.98403
               383           166.667           134.188           2.97745
               384           166.667           134.273           2.97089
               385           166.667           134.357           2.96437
               386           166.667           134.441           2.95787
               387           166.667           134.524            2.9514
               388           166.667           134.607           2.94496
               389           166.667           134.689           2.93854
               390           166.667           134.771           2.93215
               391           166.667           134.853           2.92578
               392           166.667           134.934           2.91944
               393           166.667           135.015           2.91313
               394           166.667           135.095           2.90685
               395           166.667           135.175           2.90058
               396           166.667           135.255           2.89435
               397           166.667           135.334           2.88814
               398           166.667           135.412           2.88196
               399           166.667           135.491            2.8758
               400           166.667           135.569           2.86966
               401           166.667           135.646           2.86356
               402           166.667           135.723           2.85747
               403           166.667             135.8           2.85141
               404           166.667           135.877           2.84538
               405           166.667           135.953           2.83937
               406           166.667           136.028           2.83338
               407           166.667           136.104           2.82742
               408           166.667           136.178           2.82148
               409           166.667           136.253           2.81557
               410           166.667           136.327           2.80968
               411           166.667           136.401           2.80381
               412           166.667           136.474           2.79797
               413           166.667           136.548           2.79215
               414           166.667            136.62           2.78635
               415           166.667           136.693           2.78058
               416           166.667           136.765           2.77483
               417           166.667           136.836            2.7691
               418           166.667           136.908            2.7634
               419           166.667           136.979           2.75771
               420           166.667            137.05           2.75205
               421           166.667            137.12           2.74641
               422           166.667            137.19            2.7408
               423           166.667            137.26            2.7352
               424           166.667           137.329           2.72963
               425           166.667           137.398           2.72408
               426           166.667           137.467           2.71855
               427           166.667           137.535           2.71305
               428           166.667           137.603           2.70756
               429           166.667           137.671            2.7021
               430           166.667           137.738           2.69666
               431           166.667           137.805           2.69123
               432           166.667           137.872           2.68583
               433           166.667           137.939           2.68045
               434           166.667           138.005            2.6751
               435           166.667           138.071           2.66976
               436           166.667           138.136           2.66444
               437           166.667           138.202           2.65914
               438           166.667           138.267           2.65386
               439           166.667           138.331           2.64861
               440           166.667           138.396           2.64337
               441           166.667            138.46           2.63815
               442           166.667           138.524           2.63296
               443           166.667           138.587           2.62778
               444           166.667            138.65           2.62262
               445           166.667           138.713           2.61748
               446           166.667           138.776           2.61237
               447           166.667           138.838           2.60727
               448           166.667           138.901           2.60219
               449           166.667           138.962           2.59713
               450           166.667           139.024           2.59208
               451           166.667           139.085           2.58706
               452           166.667           139.146           2.58206
               453           166.667           139.207           2.57707
               454           166.667           139.268           2.57211
               455           166.667           139.328           2.56716
               456           166.667           139.388           2.56223
               457           166.667           139.447           2.55732
               458           166.667           139.507           2.55242
               459           166.667           139.566           2.54755
               460           166.667           139.625           2.54269
               461           166.667           139.684           2.53785
               462           166.667           139.742           2.53303
               463           166.667             139.8           2.52823
               464           166.667           139.858           2.52344
               465           166.667           139.916           2.51867
               466           166.667           139.973           2.51392
               467           166.667            140.03           2.50919
               468           166.667           140.087           2.50447
               469           166.667           140.144           2.49977
               470           166.667             140.2           2.49509
               471           166.667           140.256           2.49043
               472           166.667           140.312           2.48578
               473           166.667           140.368           2.48115
               474           166.667           140.424           2.47653
               475           166.667           140.479           2.47194
               476           166.667           140.534           2.46736
               477           166.667           140.589           2.46279
               478           166.667           140.643           2.45824
               479           166.667           140.698           2.45371
               480           166.667           140.752            2.4492
               481           166.667           140.806            2.4447
               482           166.667           140.859           2.44021
               483           166.667           140.913           2.43575
               484           166.667           140.966           2.43129
               485           166.667           141.019           2.42686
               486           166.667           141.072           2.42244
               487           166.667           141.124           2.41804
               488           166.667           141.177           2.41365
               489           166.667           141.229           2.40927
               490           166.667           141.281           2.40492
               491           166.667           141.332           2.40057
               492           166.667           141.384           2.39625
               493           166.667           141.435           2.39193
               494           166.667           141.486           2.38764
               495           166.667           141.537           2.38336
               496           166.667           141.588           2.37909
               497           166.667           141.638           2.37484
               498           166.667           141.688            2.3706
               499           166.667           141.738           2.36638
               500           166.667           141.788           2.36217
               501           166.667           141.838           2.35798
               502           166.667           141.887            2.3538
               503           166.667           141.937           2.34964
               504           166.667           141.986           2.34549
               505           166.667           142.035           2.34135
               506           166.667           142.083           2.33723
               507           166.667           142.132           2.33312
               508           166.667            142.18           2.32903
               509           166.667           142.228           2.32495
               510           166.667           142.276           2.32089
               511           166.667           142.324           2.31683
               512           166.667           142.371            2.3128
               513           166.667           142.419           2.30877
               514           166.667           142.466           2.30476
               515           166.667           142.513           2.30077
               516           166.667            142.56           2.29678
               517           166.667           142.606           2.29282
               518           166.667           142.653           2.28886
               519           166.667           142.699           2.28492
               520           166.667           142.745           2.28099
               521           166.667           142.791           2.27707
               522           166.667           142.837           2.27317
               523           166.667           142.882           2.26928
               524           166.667           142.928            2.2654
               525           166.667           142.973           2.26154
               526           166.667           143.018           2.25769
               527           166.667           143.063           2.25385
               528           166.667           143.108           2.25002
               529           166.667           143.152           2.24621
               530           166.667           143.196           2.24241
               531           166.667           143.241           2.23862
               532           166.667           143.285           2.23485
               533           166.667           143.329           2.23109
               534           166.667           143.372           2.22734
               535           166.667           143.416            2.2236
               536           166.667           143.459           2.21987
               537           166.667           143.502           2.21616
               538           166.667           143.545           2.21246
               539           166.667           143.588           2.20877
               540           166.667           143.631           2.20509
               541           166.667           143.674           2.20143
               542           166.667           143.716           2.19778
               543           166.667           143.758           2.19413
               544           166.667             143.8           2.19051
               545           166.667           143.842           2.18689
               546           166.667           143.884           2.18328
               547           166.667           143.926           2.17969
               548           166.667           143.967           2.17611
               549           166.667           144.009           2.17253
               550           166.667            144.05           2.16897
               551           166.667           144.091           2.16543
               552           166.667           144.132           2.16189
               553           166.667           144.173           2.15836
               554           166.667           144.213           2.15485
               555           166.667           144.254           2.15135
               556           166.667           144.294           2.14786
               557           166.667           144.334           2.14438
               558           166.667           144.374           2.14091
               559           166.667           144.414           2.13745
               560           166.667           144.454             2.134
               561           166.667           144.493           2.13056
               562           166.667           144.533           2.12714
               563           166.667           144.572           2.12372
               564           166.667           144.611           2.12032
               565           166.667            144.65           2.11692
               566           166.667           144.689           2.11354
               567           166.667           144.728           2.11017
               568           166.667           144.767           2.10681
               569           166.667           144.805           2.10346
               570           166.667           144.844           2.10012
               571           166.667           144.882           2.09679
               572           166.667            144.92           2.09347
               573           166.667           144.958           2.09016
               574           166.667           144.996           2.08686
               575           166.667           145.033           2.08357
               576           166.667           145.071           2.08029
               577           166.667           145.108           2.07702
               578           166.667           145.146           2.07376
               579           166.667           145.183           2.07051
               580           166.667            145.22           2.06728
               581           166.667           145.257           2.06405
               582           166.667           145.293           2.06083
               583           166.667            145.33           2.05762
               584           166.667           145.367           2.05442
               585           166.667           145.403           2.05123
               586           166.667           145.439           2.04805
               587           166.667           145.476           2.04488
               588           166.667           145.512           2.04172
               589           166.667           145.547           2.03857
               590           166.667           145.583           2.03543
               591           166.667           145.619            2.0323
               592           166.667           145.655           2.02918
               593           166.667            145.69           2.02606
               594           166.667           145.725           2.02296
               595           166.667            145.76           2.01987
               596           166.667           145.796           2.01678
               597           166.667            145.83           2.01371
               598           166.667           145.865           2.01064
               599           166.667             145.9           2.00758
               600           166.667           145.935           2.00454
               601           166.667           145.969            2.0015
               602           166.667           146.004           1.99847
               603           166.667           146.038           1.99545
               604           166.667           146.072           1.99244
               605           166.667           146.106           1.98943
               606           166.667            146.14           1.98644
               607           166.667           146.174           1.98346
               608           166.667           146.207           1.98048
               609           166.667           146.241           1.97751
               610           166.667           146.275           1.97455
               611           166.667           146.308           1.97161
               612           166.667           146.341           1.96866
               613           166.667           146.374           1.96573
               614           166.667           146.407           1.96281
               615           166.667            146.44           1.95989
               616           166.667           146.473           1.95699
               617           166.667           146.506           1.95409
               618           166.667           146.539            1.9512
               619           166.667           146.571           1.94832
               620           166.667           146.603           1.94544
               621           166.667           146.636           1.94258
               622           166.667           146.668           1.93972
               623           166.667             146.7           1.93688
               624           166.667           146.732           1.93404
               625           166.667           146.764            1.9312
               626           166.667           146.796           1.92838
               627           166.667           146.827           1.92557
               628           166.667           146.859           1.92276
               629           166.667           146.891           1.91996
               630           166.667           146.922           1.91717
               631           166.667           146.953           1.91439
               632           166.667           146.984           1.91161
               633           166.667           147.015           1.90884
               634           166.667           147.046           1.90609
               635           166.667           147.077           1.90333
               636           166.667           147.108           1.90059
               637           166.667           147.139           1.89785
               638           166.667           147.169           1.89513
               639           166.667             147.2           1.89241
               640           166.667            147.23           1.88969
               641           166.667           147.261           1.88699
               642           166.667           147.291           1.88429
               643           166.667           147.321            1.8816
               644           166.667           147.351           1.87892
               645           166.667           147.381           1.87625
               646           166.667           147.411           1.87358
               647           166.667           147.441           1.87092
               648           166.667            147.47           1.86827
               649           166.667             147.5           1.86562
               650           166.667           147.529           1.86299
               651           166.667           147.559           1.86036
               652           166.667           147.588           1.85773
               653           166.667           147.617           1.85512
               654           166.667           147.646           1.85251
               655           166.667           147.676           1.84991
               656           166.667           147.704           1.84732
               657           166.667           147.733           1.84473
               658           166.667           147.762           1.84215
               659           166.667           147.791           1.83958
               660           166.667           147.819           1.83701
               661           166.667           147.848           1.83446
               662           166.667           147.876           1.83191
               663           166.667           147.905           1.82936
               664           166.667           147.933           1.82682
               665           166.667           147.961            1.8243
               666           166.667           147.989           1.82177
               667           166.667           148.017           1.81926
               668           166.667           148.045           1.81675
               669           166.667           148.073           1.81424
               670           166.667           148.101           1.81175
               671           166.667           148.128           1.80926
               672           166.667           148.156           1.80678
               673           166.667           148.183            1.8043
               674           166.667           148.211           1.80183
               675           166.667           148.238           1.79937
               676           166.667           148.265           1.79692
               677           166.667           148.293           1.79447
               678           166.667            148.32           1.79203
               679           166.667           148.347           1.78959
               680           166.667           148.374           1.78716
               681           166.667           148.401           1.78474
               682           166.667           148.427           1.78232
               683           166.667           148.454           1.77991
               684           166.667           148.481           1.77751
               685           166.667           148.507           1.77511
               686           166.667           148.534           1.77272
               687           166.667            148.56           1.77034
               688           166.667           148.586           1.76796
               689           166.667           148.613           1.76559
               690           166.667           148.639           1.76323
               691           166.667           148.665           1.76087
               692           166.667           148.691           1.75851
               693           166.667           148.717           1.75617
               694           166.667           148.743           1.75383
               695           166.667           148.769           1.75149
               696           166.667           148.794           1.74917
               697           166.667            148.82           1.74685
               698           166.667           148.845           1.74453
               699           166.667           148.871           1.74222
               700           166.667           148.896           1.73992
               701           166.667           148.922           1.73762
               702           166.667           148.947           1.73533
               703           166.667           148.972           1.73304
               704           166.667           148.997           1.73076
               705           166.667           149.022           1.72849
               706           166.667           149.047           1.72622
               707           166.667           149.072           1.72396
               708           166.667           149.097            1.7217
               709           166.667           149.122           1.71945
