#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
               660             -0.08        -0.0595152         0.0146585
               661             -0.04        -0.0594856         0.0146364
               662             -0.12         -0.059577         0.0146145
               663              0.12        -0.0593062          0.014595
               664             -0.28        -0.0596386         0.0145768
               665             -0.48        -0.0602707         0.0145686
               666             -0.52         -0.060961         0.0145631
               667             -0.44        -0.0615292         0.0145523
               668              -0.4        -0.0620359         0.0145393
               669              -0.4        -0.0625411         0.0145264
               670             -0.32        -0.0629254         0.0145098
               671             -0.36        -0.0633681         0.0144949
               672             -0.36        -0.0638095         0.0144801
               673             -0.32        -0.0641902         0.0144636
               674              -0.2        -0.0643917         0.0144435
               675             -0.12        -0.0644741         0.0144223
               676              0.08        -0.0642604         0.0144026
               677              0.08        -0.0640473         0.0143829
               678              0.24        -0.0635988         0.0143687
               679              0.24        -0.0631517         0.0143545
               680              0.12        -0.0628824         0.0143359
               681                 0          -0.06279         0.0143151
               682                 0        -0.0626979         0.0142944
               683               0.2        -0.0623133         0.0142787
               684               0.2        -0.0619298         0.0142629
               685              0.44        -0.0611971         0.0142609
               686               0.4        -0.0605248          0.014256
               687              0.12         -0.060262         0.0142376
               688              -0.2        -0.0604651         0.0142184
               689             -0.16        -0.0606096         0.0141985
               690             -0.16        -0.0607536         0.0141787
               691             -0.44        -0.0613025         0.0141688
               692             -0.32        -0.0616763         0.0141532
               693             -0.04         -0.061645         0.0141328
               694              0.04        -0.0614986         0.0141132
               695             -0.16        -0.0616403         0.0140936
               696              0.04        -0.0614943         0.0140741
               697              0.04        -0.0613486         0.0140547
               698               0.2        -0.0609742         0.0140395
               699              0.24        -0.0605436         0.0140261
               700              0.36        -0.0599429         0.0140189
               701               0.2         -0.059572         0.0140038
               702              0.24        -0.0591453         0.0139903
               703              0.36        -0.0585491         0.0139831
               704              0.36        -0.0579545         0.0139759
               705              0.24        -0.0575319         0.0139625
               706              0.44        -0.0568272         0.0139605
               707              0.48        -0.0560679         0.0139614
               708               0.4        -0.0554237         0.0139565
               709               0.4        -0.0547814         0.0139516
               710               0.4        -0.0541408         0.0139466
               711              0.56        -0.0532771         0.0139537
               712              0.52        -0.0524719         0.0139573
               713              0.68        -0.0514446         0.0139755
               714              0.72        -0.0503641         0.0139977
