#     BLOCK:  ACTUAL_I:     I_AVE:      ERROR:
               385         0.0236596        0.00952607        0.00100955
               386         0.0165337        0.00954423         0.0010071
               387       -0.00723913        0.00950086        0.00100543
               388       -0.00194739        0.00947135        0.00100327
               389        0.00695776        0.00946489        0.00100071
               390         0.0227611        0.00949898       0.000998726
               391         0.0118895         0.0095051       0.000996191
               392         0.0258935        0.00954691       0.000994526
               393         -0.006875        0.00950512       0.000992873
               394        0.00449384         0.0094924       0.000990434
               395       -0.00346259         0.0094596        0.00098847
               396        0.00775913        0.00945531       0.000985983
               397        -0.0196191        0.00938207       0.000986216
               398         0.0239531        0.00941868       0.000984417
               399         0.0193021        0.00944345       0.000982261
               400           0.02229        0.00947557       0.000980331
               401        0.00139162        0.00945541       0.000978093
               402         0.0196941        0.00948088       0.000975992
               403       -0.00103083         0.0094548       0.000973918
               404         0.0210965        0.00948361       0.000971934
               405        -0.0065683        0.00944398       0.000970342
               406         0.0039013        0.00943033       0.000968048
               407         0.0178501        0.00945101        0.00096589
               408         0.0256763        0.00949078       0.000964341
               409         0.0327267        0.00954759       0.000963655
               410       -0.00834275        0.00950396       0.000962293
               411         0.0247305        0.00954101       0.000960664
               412         0.0365195        0.00960649       0.000960561
               413         0.0111996        0.00961035       0.000958243
               414         0.0157462        0.00962517       0.000956043
               415         0.0235431         0.0096587       0.000954328
               416        0.00682396        0.00965189       0.000952058
               417         0.0198937        0.00967645       0.000950092
               418         0.0152133         0.0096897       0.000947911
               419         0.0131856        0.00969804       0.000945685
               420         0.0120671        0.00970368       0.000943451
               421         -0.019501        0.00963431       0.000943757
               422       -0.00156099        0.00960778       0.000941893
               423         0.0159846        0.00962286       0.000939787
               424          0.014319        0.00963393       0.000937636
               425         0.0278011        0.00967668       0.000936403
               426         0.0155498        0.00969047       0.000934307
               427         0.0224607        0.00972037       0.000932597
               428         0.0205642        0.00974571       0.000930762
               429        0.00184743         0.0097273       0.000928775
               430        -0.0337608        0.00962616       0.000932105
               431         0.0183714        0.00964645       0.000930163
               432         0.0161643        0.00966154       0.000928132
               433         0.0120857        0.00966714       0.000926006
               434         0.0149054        0.00967921       0.000923951
               435         0.0228056        0.00970938       0.000922319
               436        0.00617767        0.00970128       0.000920239
               437        -0.0170017        0.00964018        0.00092016
               438        0.00214423        0.00962306       0.000918218
               439         0.0321663        0.00967442       0.000917562
               440         0.0244316        0.00970796       0.000916089
               441      -0.000638183        0.00968449       0.000914312
               442          0.032634        0.00973642       0.000913717
               443       -0.00871617        0.00969476       0.000912603
               444        -0.0182362        0.00963186       0.000912713
               445       -0.00590748        0.00959694        0.00091133
               446         0.0117088        0.00960167       0.000909299
               447         0.0240821        0.00963407       0.000907841
               448         0.0261201        0.00967086        0.00090656
               449         0.0211675        0.00969647       0.000904903
               450        0.00831269        0.00969339       0.000902897
               451         0.0552717        0.00979445       0.000906533
               452         0.0204045        0.00981793       0.000904832
               453         0.0180696        0.00983614       0.000903018
               454        0.00602153        0.00982774       0.000901068
               455        -0.0113981        0.00978109       0.000900294
               456         0.0128942        0.00978792       0.000898346
               457         0.0112813        0.00979119       0.000896386
               458        0.00457905        0.00977981       0.000894501
               459          0.019313        0.00980058       0.000892793
               460         0.0200129        0.00982278       0.000891128
               461         0.0115076        0.00982643       0.000889203
               462         0.0131006        0.00983352       0.000887306
               463        0.00333367        0.00981948       0.000885501
               464         0.0376302        0.00987942       0.000885619
               465         0.0162899         0.0098932       0.000883821
               466         0.0106124        0.00989475       0.000881926
               467         0.0069346        0.00988841        0.00088006
               468         0.0200385         0.0099101       0.000878447
               469        0.00893477        0.00990802       0.000876577
               470        0.00952245         0.0099072       0.000874712
               471       -0.00397945        0.00987771       0.000873352
               472        0.00565572        0.00986877       0.000871547
               473         0.0154874        0.00988065       0.000869785
               474         0.0115937        0.00988426       0.000867958
               475         0.0126329        0.00989005        0.00086615
               476         0.0212292        0.00991387       0.000864658
               477         0.0212621        0.00993766       0.000863172
               478         0.0160045        0.00995035        0.00086146
               479        -0.0123265        0.00990384       0.000860916
               480         0.0317155        0.00994929       0.000860321
               481       -0.00751703        0.00991297       0.000859298
               482         0.0172286        0.00992815       0.000857649
               483        0.00713144        0.00992236       0.000855893
               484         0.0359336         0.0099761        0.00085581
               485        -0.0135683        0.00992756       0.000855422
               486         0.0189275        0.00994608       0.000853862
               487         0.0442959         0.0100166       0.000855017
               488       -0.00431743        0.00998724       0.000853769
               489        0.00731223        0.00998177       0.000852041
               490         0.0125325        0.00998697       0.000850318
               491          0.019098         0.0100055       0.000848788
               492        -0.0298595         0.0099245       0.000850922
               493        0.00064052        0.00990567       0.000849404
               494         0.0135237        0.00991299       0.000847716
               495         0.0198136        0.00993299        0.00084624
               496         0.0200162        0.00995332       0.000844778
               497         0.0109975        0.00995542       0.000843081
               498       -0.00195326        0.00993151       0.000841727
               499       -0.00914229        0.00989329       0.000840907
               500        0.00487722        0.00988326       0.000839285
               501         0.0169774        0.00989742        0.00083773
               502        -0.0115972         0.0098546       0.000837154
               503       -0.00139686        0.00983223       0.000835789
               504        0.00840946        0.00982941       0.000834135
               505         0.0461072        0.00990124       0.000835571
               506      -0.000329791        0.00988102       0.000834164
               507        -0.0198155        0.00982245       0.000834573
               508         0.0552979        0.00991197       0.000837717
               509         0.0137216        0.00991945       0.000836105
               510        0.00917452        0.00991799       0.000834467
               511       -0.00246848        0.00989375       0.000833186
               512         0.0115213        0.00989693       0.000831565
               513        -0.0101078        0.00985794       0.000830858
               514         0.0210856        0.00987978       0.000829528
               515         0.0238849        0.00990697       0.000828363
               516         0.0253481         0.0099369       0.000827298
               517         0.0297033        0.00997513       0.000826581
               518        0.00961525        0.00997444       0.000824985
               519         -0.042915        0.00987253       0.000829666
               520         0.0363859        0.00992352       0.000829636
               521      -0.000543519        0.00990343       0.000828287
               522        -0.0160345        0.00985374       0.000828189
               523         0.0062908        0.00984693       0.000826633
               524       -0.00694088        0.00981489       0.000825676
               525         0.0256056        0.00984497       0.000824651
               526        0.00637619        0.00983837        0.00082311
               527        -0.0125488        0.00979589       0.000822644
               528         0.0337394        0.00984124       0.000822334
               529       -0.00820759        0.00980712       0.000821487
               530          0.016903        0.00982051       0.000820047
               531          0.013015        0.00982652       0.000818524
               532        -0.0170851        0.00977594       0.000818547
               533      -0.000958427         0.0097558       0.000817259
               534         0.0226411        0.00977993       0.000816085
               535         0.0378578        0.00983241       0.000816245
               536         0.0114798        0.00983548       0.000814728
               537         0.0172193        0.00984923       0.000813327
               538        -0.0105511        0.00981132       0.000812699
               539        0.00819746        0.00980832       0.000811197
               540       -0.00943706        0.00977268       0.000810477
               541        0.00808679        0.00976956       0.000808985
               542        -0.0223437        0.00971032       0.000809659
               543         0.0255392        0.00973947       0.000808692
               544         0.0244175        0.00976645       0.000807656
               545       -0.00834742        0.00973321       0.000806858
               546         0.0237573         0.0097589       0.000805789
               547        0.00376872        0.00974795        0.00080439
               548         0.0185369        0.00976398       0.000803082
               549       -0.00142925         0.0097436       0.000801878
               550         0.0248427        0.00977105        0.00080089
               551        0.00609058        0.00976437       0.000799464
               552         0.0415114        0.00982188       0.000800082
               553         0.0436424        0.00988304       0.000800969
               554       -0.00847135        0.00984991       0.000800208
               555         0.0132477        0.00985603        0.00079879
               556         0.0403486        0.00991087       0.000799233
               557         0.0357128         0.0099572        0.00079914
               558         0.0238291        0.00998206       0.000798094
               559         0.0249159         0.0100088       0.000797114
               560        0.00495847        0.00999975       0.000795741
               561       -0.00735304        0.00996882       0.000794924
               562         0.0133137        0.00997477       0.000793532
               563      -0.000275866        0.00995657       0.000792331
               564       -0.00983726        0.00992147       0.000791703
               565       -0.00728079        0.00989102       0.000790887
               566         0.0120943        0.00989492       0.000789499
               567        0.00546339         0.0098871       0.000788145
               568       -0.00875225        0.00985429       0.000787441
               569        -0.0116164        0.00981655        0.00078696
               570         0.0403162        0.00987006       0.000787397
               571        0.00723412        0.00986544       0.000786031
               572         0.0173044        0.00987845       0.000784765
               573        -0.0380586        0.00979479       0.000787842
               574        -0.0115788        0.00975755       0.000787349
               575        -0.0143404        0.00971564       0.000787094
               576         0.0311954        0.00975293        0.00078661
               577         0.0314108        0.00979047       0.000786142
               578         0.0382193        0.00983965       0.000786319
               579         0.0279939        0.00987101       0.000785586
               580        0.00794819        0.00986769       0.000784239
               581       -0.00187678        0.00984748       0.000783149
               582        -0.0246012        0.00978829       0.000784037
               583       -0.00400309        0.00976463       0.000783049
               584        -0.0308766        0.00969504       0.000784795
               585         0.0253873        0.00972187       0.000783911
               586         0.0452211        0.00978245       0.000784911
               587        -0.0222745        0.00972783       0.000785471
               588         0.0174159        0.00974091       0.000784244
               589       -0.00733474        0.00971192       0.000783448
               590         0.0166843        0.00972374        0.00078221
               591         0.0325919        0.00976243       0.000781843
               592         0.0323779        0.00980063       0.000781455
