# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
        4.56       0.679      0.4311    0.140728
        4.72       0.315      0.2797   0.0822699
        4.88       1.082      0.2234    0.102496
        5.04       0.052       0.051   0.0346725
         5.2       0.125      0.0307   0.0198303
        5.36       0.631      0.0643   0.0597461
        5.52       0.184        0.02   0.0173528
        5.68           0      0.0028  0.00265631
        5.84           0      0.0053  0.00502802
           6           0           0           0
        6.16           0           0           0
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0 0.000181818 0.000173357
        0.24           0   0.0262727   0.0118071
         0.4       0.419    0.264545   0.0747676
        0.56       1.934     1.02236    0.217816
        0.72       1.231     1.48527    0.303283
        0.88        2.08     1.62536    0.224809
        1.04        3.77     1.72645    0.335022
         1.2       6.329     2.76136    0.528867
        1.36       4.287     4.32473    0.739913
        1.52       6.845     4.65373     0.82854
        1.68       4.199     4.26164    0.585471
        1.84        5.29     4.90709    0.623273
           2       5.983     6.54355     0.80132
        2.16       7.041     6.72136    0.588205
        2.32        8.64     13.3031      3.4952
        2.48       3.988     8.70382     1.26301
        2.64       7.337     12.0401     2.90483
         2.8       7.627     7.36373    0.434253
        2.96       4.952     5.64373    0.495342
        3.12       4.232     4.43945      0.4908
        3.28       4.025     3.52718    0.473276
        3.44       4.782     2.99127    0.452597
         3.6       2.167     2.10655     0.31037
        3.76       2.502     1.94236    0.399035
        3.92       2.162     2.11218     0.38746
        4.08       2.767     1.31618    0.258272
        4.24       0.341    0.662545     0.12409
         4.4       1.065    0.334091    0.096637
        4.56       0.488    0.436273    0.128029
        4.72       0.078    0.261364   0.0768071
        4.88       0.003    0.203364   0.0951167
        5.04        0.56   0.0972727   0.0542222
         5.2       0.461   0.0698182    0.041426
        5.36       0.028       0.061   0.0544057
        5.52       0.006   0.0187273   0.0158219
        5.68       0.007  0.00318182  0.00244212
        5.84       0.084   0.0124545  0.00821142
           6       0.155   0.0140909   0.0134352
        6.16       0.135   0.0122727   0.0117016
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0 0.000166667 0.000159571
        0.24       0.016   0.0254167   0.0108541
         0.4        0.03       0.245   0.0710458
        0.56       1.603     1.07075    0.204968
        0.72       2.069     1.53392    0.281883
        0.88        2.95     1.73575    0.231596
        1.04       5.821     2.06767     0.44837
         1.2       5.534     2.99242    0.532882
        1.36       3.898     4.28917    0.679107
        1.52       3.295      4.5405    0.767193
        1.68       3.181     4.17158    0.543564
        1.84       6.506     5.04033    0.585402
           2       7.447     6.61883    0.738072
        2.16        8.39     6.86042    0.555381
        2.32       6.398     12.7277     3.25096
        2.48       8.004      8.6455      1.1591
        2.64       7.741     11.6818     2.68476
         2.8       3.717     7.05983    0.493063
        2.96       5.133     5.60117    0.455888
        3.12       5.675     4.54242    0.460573
        3.28        5.62     3.70158     0.46486
        3.44       3.459     3.03025    0.416556
         3.6       2.615     2.14892    0.287383
        3.76        2.19       1.963    0.366315
        3.92       1.597     2.06925    0.357543
        4.08       1.061     1.29492    0.237623
        4.24       0.774    0.671833    0.114096
         4.4       0.246     0.32675   0.0888623
        4.56       0.254    0.421083    0.118258
        4.72       0.776     0.30425   0.0815049
        4.88           0    0.186417   0.0886872
        5.04       0.977    0.170583    0.086006
         5.2       0.023   0.0659167   0.0381571
        5.36           0   0.0559167   0.0501088
        5.52           0   0.0171667   0.0145802
        5.68           0  0.00291667  0.00225296
        5.84       0.463        0.05   0.0367267
           6       0.293   0.0373333   0.0254336
        6.16       0.244   0.0315833   0.0213748
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08       0.002 0.000307692 0.000200137
        0.24       0.004   0.0237692   0.0101434
         0.4       0.365    0.254231   0.0661776
        0.56        1.37     1.09377     0.19049
        0.72       0.927     1.48723    0.264038
        0.88        3.22     1.84992    0.240281
        1.04       3.526     2.17985    0.427683
         1.2       3.498     3.03131    0.493308
        1.36       5.633     4.39254    0.634687
        1.52       4.026     4.50092    0.709198
        1.68       7.349       4.416    0.553984
        1.84       6.441     5.14808    0.550197
           2       6.742     6.62831    0.681358
        2.16       6.958     6.86792     0.51271
        2.32       9.672     12.4926     3.00937
        2.48       8.458     8.63108     1.07003
        2.64       6.835      11.309     2.50399
         2.8       3.777     6.80731    0.515763
        2.96       5.041     5.55808    0.422851
        3.12       4.235     4.51877    0.425751
        3.28       5.709       3.856    0.454025
        3.44       3.022     3.02962    0.384514
         3.6       2.536     2.17869    0.266815
        3.76        1.59     1.93431    0.339259
        3.92       1.162     1.99946    0.336781
        4.08       0.759     1.25369    0.222892
        4.24       1.108    0.705385    0.110142
         4.4       0.312    0.325615    0.082034
        4.56       0.016    0.389923    0.113192
        4.72       0.877    0.348308   0.0863256
        4.88       0.723    0.227692   0.0909644
        5.04       0.262    0.177615   0.0796771
         5.2       0.061   0.0655385   0.0352238
        5.36       0.011   0.0524615   0.0463733
        5.52       0.766   0.0747692   0.0569557
        5.68       0.048  0.00638462  0.00392766
        5.84       0.444   0.0803077   0.0446902
           6       0.515   0.0740769   0.0423959
        6.16           0   0.0291538   0.0198682
        6.32           0           0           0
        6.48           0           0           0
        6.64           0           0           0
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
        7.28           0           0           0
        7.44           0           0           0
         7.6           0           0           0
        7.76           0           0           0
        7.92           0           0           0
        0.08           0 0.000285714 0.000187044
        0.24       0.139       0.032   0.0123135
         0.4       0.601       0.279   0.0659233
        0.56       1.046     1.09036    0.176914
        0.72       1.143     1.46264     0.24632
        0.88       1.601     1.83214    0.223775
        1.04       2.893     2.23079    0.400157
         1.2       3.581     3.07057    0.459632
        1.36       6.682     4.55607    0.610057
        1.52       7.138     4.68929    0.683098
        1.68       5.032        4.46    0.516158
        1.84       7.804     5.33779    0.542619
           2       4.744     6.49371    0.645846
        2.16      12.005     7.23486    0.593029
        2.32        7.14     12.1103     2.81859
        2.48        6.56     8.48314     1.00377
        2.64        6.62     10.9741     2.34743
         2.8       3.476     6.56936    0.530984
        2.96       4.819     5.50529    0.395929
        3.12       3.524     4.44771    0.401226
        3.28       5.804     3.99514    0.442402
        3.44       4.541     3.13757    0.371895
         3.6       2.048     2.16936     0.24792
        3.76       1.503      1.9035    0.316422
        3.92       1.027        1.93    0.319809
        4.08       0.955     1.23236     0.20799
        4.24       1.513    0.763071    0.116405
         4.4       1.319    0.396571    0.102361
        4.56       0.428    0.392643     0.10514
        4.72       0.016    0.324571   0.0833589
