# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
          0.186667             0.038          0.135538         0.0274357
              0.24             0.082             0.216         0.0278287
          0.293333             0.238          0.354308         0.0412749
          0.346667             0.444          0.467846         0.0451624
               0.4             0.878          0.764769         0.0613777
          0.453333             1.296           1.06462         0.0643218
          0.506667             1.992           1.44615           0.13591
              0.56             2.326           1.72492          0.165648
          0.613333             1.534           1.77738          0.122157
          0.666667             1.826           1.76015          0.101953
              0.72             2.392           2.10185          0.136088
          0.773333             2.342           2.31462          0.141007
          0.826667             2.444           2.59308         0.0985162
              0.88             2.712           2.67046         0.0865489
          0.933333             3.064           2.86585         0.0811041
          0.986667              3.83           3.27985          0.154029
              1.04             3.024           3.53538          0.303751
           1.09333             3.652           3.56492          0.271109
           1.14667             4.388           3.69446          0.278405
               1.2             4.106           4.13046          0.336818
           1.25333             4.926           3.82923          0.275297
           1.30667             3.414           3.59985          0.173239
              1.36             3.604           3.72692          0.132632
           1.41333             4.128           3.59169          0.165261
           1.46667             3.722           3.34477          0.143206
              1.52             3.738           3.22708           0.15252
           1.57333             3.028           3.11415          0.118436
         0.0266667                 0             0.004        0.00155183
              0.08              0.02         0.0324286         0.0112289
          0.133333             0.038         0.0841429         0.0190814
          0.186667             0.252          0.143857         0.0267074
              0.24              0.43          0.231286         0.0297442
          0.293333               0.7             0.379          0.045112
          0.346667             0.956          0.502714         0.0537365
               0.4             1.508          0.817857         0.0765851
          0.453333             1.682           1.10871         0.0733019
          0.506667             2.082           1.49157          0.133576
              0.56             2.622             1.789          0.165746
          0.613333              3.15           1.87543          0.147624
          0.666667             2.172           1.78957         0.0988233
              0.72             2.414           2.12414          0.128181
          0.773333             2.702           2.34229          0.133622
          0.826667             3.742           2.67514          0.120922
              0.88               3.1           2.70114         0.0856325
          0.933333             3.064              2.88          0.076536
          0.986667             4.258           3.34971          0.158081
              1.04             2.822           3.48443          0.286297
           1.09333             3.064           3.52914          0.254094
           1.14667             3.434           3.67586           0.25914
               1.2             2.194           3.99214          0.339977
           1.25333             4.152           3.85229          0.256596
           1.30667             2.532           3.52357          0.176861
              1.36             2.868           3.66557          0.136613
           1.41333             2.708           3.52857          0.165071
           1.46667             2.856           3.30986          0.137166
              1.52             2.482           3.17386          0.150625
           1.57333             2.932           3.10114          0.110689
         0.0266667                 0        0.00373333         0.0014711
              0.08                 0         0.0302667         0.0106864
          0.133333              0.01            0.0792         0.0184384
          0.186667             0.012          0.135067         0.0263338
              0.24             0.086            0.2216         0.0292959
          0.293333             0.114          0.361333         0.0454323
          0.346667             0.272          0.487333         0.0523091
               0.4             0.388            0.7892         0.0766537
          0.453333             1.026            1.1032         0.0686222
          0.506667             1.028           1.46067          0.128196
              0.56             1.054              1.74          0.161778
          0.613333             1.226           1.83213          0.143991
          0.666667             2.086           1.80933         0.0941903
              0.72             2.554            2.1528          0.122797
          0.773333             2.868           2.37733          0.129229
          0.826667               2.9           2.69013          0.113786
              0.88             2.974           2.71933         0.0818329
          0.933333             3.168            2.8992         0.0738026
          0.986667             4.418           3.42093          0.162797
              1.04             2.804           3.43907           0.27078
           1.09333               3.3           3.51387          0.237614
           1.14667             4.818             3.752          0.252803
               1.2             3.562           3.96347          0.318519
           1.25333             4.962           3.92627          0.249927
