# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333             0.404          0.236267         0.0526432
               0.4              1.79           1.80787          0.158683
          0.666667             6.218           3.60773          0.409952
          0.933333             9.192            6.7696           0.61476
               1.2            13.458           10.9511          0.852019
           1.46667            12.346           12.2796          0.675638
           1.73333            14.284           14.8789          0.688275
                 2            12.204           13.5721          0.450422
           2.26667              9.71            11.164          0.813465
           2.53333            11.852           10.7981           1.01486
               2.8              7.02           9.59773          0.564814
           3.06667              3.34           5.38587          0.405262
           3.33333             2.756           3.66467          0.375422
               3.6             3.286           1.79813          0.309889
           3.86667              0.14          0.742667          0.175881
           4.13333                 0          0.424933           0.10886
               4.4                 0             0.248         0.0908481
           4.66667                 0         0.0377333         0.0286148
           4.93333                 0         0.0242667          0.020722
               5.2                 0            0.0076         0.0073423
           5.46667                 0        0.00306667        0.00296268
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333             0.014          0.222375          0.051153
               0.4             2.072           1.82438          0.149622
          0.666667             8.458           3.91087          0.483592
          0.933333             9.954           6.96863          0.607701
               1.2            11.938           11.0127          0.800998
           1.46667             9.798           12.1245           0.65097
           1.73333            13.688           14.8045           0.64927
                 2            14.506           13.6305          0.426035
           2.26667             12.06             11.22          0.764549
           2.53333             5.818           10.4869          0.998024
               2.8             9.102           9.56675          0.530362
           3.06667             4.858           5.35288          0.381274
           3.33333             1.244           3.51337          0.381226
               3.6             3.152           1.88275          0.301852
           3.86667             1.338          0.779875          0.168779
           4.13333                 0          0.398375          0.105246
               4.4                 0            0.2325         0.0864822
           4.66667                 0          0.035375         0.0269233
           4.93333                 0           0.02275         0.0194823
               5.2                 0          0.007125        0.00689875
           5.46667                 0          0.002875        0.00278371
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333                 0          0.209294         0.0497885
               0.4             4.088           1.95753          0.191096
          0.666667             7.282           4.10918          0.494133
          0.933333            12.886           7.31671          0.664202
               1.2             8.446           10.8618          0.767979
           1.46667            10.388           12.0224           0.62064
           1.73333             14.25           14.7719          0.611896
                 2             8.896            13.352          0.483508
           2.26667            10.546           11.1804          0.720602
           2.53333            11.344           10.5373          0.940589
               2.8             7.142           9.42412          0.517989
           3.06667               7.7           5.49094          0.383029
           3.33333             1.032           3.36741          0.385733
               3.6              2.43           1.91494          0.285807
           3.86667              1.57          0.826353          0.165126
           4.13333                 0          0.374941          0.101631
               4.4                 0          0.218824         0.0824693
           4.66667                 0         0.0332941         0.0254199
           4.93333                 0         0.0214118         0.0183822
               5.2                 0        0.00670588        0.00650566
           5.46667                 0        0.00270588        0.00262509
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333              0.44          0.222111         0.0486442
               0.4              2.83             2.006          0.186525
          0.666667              7.42           4.29311          0.499744
          0.933333             9.886           7.45944          0.642456
               1.2            10.024           10.8152          0.726722
           1.46667            13.018           12.0777          0.588619
           1.73333             13.93           14.7251          0.579687
                 2             8.604           13.0882          0.523679
           2.26667            12.162           11.2349          0.682629
           2.53333            12.108           10.6246          0.892373
               2.8             6.592           9.26678          0.512551
           3.06667             6.416           5.54233          0.365181
           3.33333              1.92             3.287          0.372591
               3.6              2.15             1.928          0.270227
           3.86667               0.5          0.808222          0.156945
           4.13333                 0          0.354111         0.0980961
               4.4                 0          0.206667         0.0787786
           4.66667                 0         0.0314444         0.0240749
           4.93333                 0         0.0202222         0.0173994
               5.2                 0        0.00633333        0.00615489
           5.46667                 0        0.00255556        0.00248355
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333                 1          0.263053         0.0609239
               0.4             1.258           1.96663          0.180815
          0.666667              7.67           4.47084          0.504056
          0.933333            10.596           7.62453          0.629495
               1.2            10.732           10.8108          0.688487
           1.46667             12.93           12.1225          0.559346
           1.73333            13.544           14.6629            0.5525
                 2            11.336            12.996          0.504172
           2.26667            13.304           11.3438           0.65533
           2.53333             9.784           10.5803          0.846502
               2.8             6.148           9.10263          0.511184
           3.06667             3.934           5.45768          0.355637
           3.33333             4.144           3.33211          0.355701
               3.6             0.714           1.86411          0.263451
           3.86667             0.906          0.813368          0.148769
           4.13333                 0          0.335474         0.0946871
               4.4                 0          0.195789         0.0753796
           4.66667                 0         0.0297895         0.0228646
           4.93333                 0         0.0191579         0.0165161
               5.2                 0             0.006        0.00583997
           5.46667                 0        0.00242105        0.00235648
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333             1.324            0.3161          0.077609
               0.4             1.016            1.9191          0.177912
          0.666667             4.714             4.483             0.479
          0.933333            10.372            7.7619          0.612826
               1.2            12.864           10.9135          0.661672
           1.46667             12.76           12.1544          0.532286
           1.73333            13.106           14.5851          0.530331
                 2            13.622           13.0273          0.479934
           2.26667            15.586           11.5559          0.655993
           2.53333             8.678           10.4852          0.809503
               2.8             5.356            8.9153          0.518816
           3.06667             3.768            5.3732          0.347745
           3.33333             1.728            3.2519           0.34684
               3.6             2.338            1.8878          0.251341
           3.86667             0.768            0.8111          0.141347
           4.13333                 0            0.3187         0.0914264
               4.4                 0             0.186         0.0722435
           4.66667                 0            0.0283         0.0217698
           4.93333                 0            0.0182         0.0157181
               5.2                 0            0.0057        0.00555567
           5.46667                 0            0.0023        0.00224176
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333             0.048          0.303333          0.074956
               0.4             1.916           1.91895           0.16944
          0.666667             4.514           4.48448          0.456193
          0.933333             7.266           7.73829          0.584099
               1.2            15.454           11.1297          0.664551
           1.46667            13.002           12.1948          0.508467
           1.73333            15.228           14.6157           0.50596
                 2            16.236           13.1801          0.480787
           2.26667            13.478           11.6474          0.631109
           2.53333             4.704           10.2099          0.816425
               2.8             7.704           8.85762          0.497306
           3.06667             2.792           5.25029          0.352239
           3.33333             2.286            3.2059           0.33336
               3.6             2.372           1.91086          0.240428
           3.86667              0.94          0.817238           0.13475
           4.13333              0.06          0.306381         0.0878988
               4.4                 0          0.177143         0.0693441
           4.66667                 0         0.0269524         0.0207748
           4.93333                 0         0.0173333         0.0149935
               5.2                 0        0.00542857        0.00529774
           5.46667                 0        0.00219048        0.00213769
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333             0.184          0.297909         0.0717449
               0.4             2.234           1.93327          0.162342
          0.666667             3.006           4.41727          0.440379
          0.933333             7.716           7.73727           0.55755
               1.2            15.724           11.3385          0.666349
           1.46667            15.864           12.3615          0.511979
           1.73333            13.248           14.5535          0.486766
                 2            13.832           13.2097          0.459846
           2.26667            13.022           11.7099          0.605507
           2.53333             6.652           10.0482          0.795171
               2.8             8.602             8.846          0.474837
           3.06667              1.68             5.088          0.371738
           3.33333             2.454           3.17173          0.319954
               3.6               2.8           1.95127          0.232872
           3.86667             0.502          0.802909          0.129384
           4.13333              0.48          0.314273         0.0842569
               4.4                 0          0.169091          0.066658
           4.66667                 0         0.0257273         0.0198666
           4.93333                 0         0.0165455         0.0143326
               5.2                 0        0.00518182        0.00506268
           5.46667                 0        0.00209091        0.00204284
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333             0.884          0.323391         0.0730108
               0.4              1.37           1.90878           0.15712
          0.666667             2.814           4.34757          0.426713
          0.933333            10.314            7.8493          0.544448
               1.2            15.366           11.5137          0.659984
           1.46667            13.346           12.4043          0.491505
           1.73333            11.952           14.4404          0.478564
                 2            20.012           13.5055          0.526437
           2.26667             9.514           11.6144          0.586659
           2.53333             7.092           9.91965          0.770916
               2.8              7.14           8.77183          0.459949
           3.06667             2.732           4.98557          0.369419
           3.33333             2.308           3.13417          0.308239
               3.6             1.288           1.92243          0.224525
           3.86667             0.954          0.809478          0.123926
           4.13333             0.914          0.340348         0.0845321
               4.4                 0          0.161739         0.0641639
           4.66667                 0         0.0246087         0.0190343
           4.93333                 0         0.0158261         0.0137275
               5.2                 0        0.00495652        0.00484757
           5.46667                 0             0.002        0.00195604
           5.73333                 0                 0                 0
                 6                 0                 0                 0
           6.26667                 0                 0                 0
           6.53333                 0                 0                 0
               6.8                 0                 0                 0
           7.06667                 0                 0                 0
           7.33333                 0                 0                 0
               7.6                 0                 0                 0
           7.86667                 0                 0                 0
          0.133333              0.31          0.322833         0.0699708
               0.4             0.728           1.85958          0.158089
          0.666667             4.802            4.3665          0.409353
          0.933333            11.472           8.00025          0.542283
               1.2            12.328           11.5476          0.633357
           1.46667            17.086           12.5994          0.508263
           1.73333            10.298           14.2678          0.488759
                 2            17.758           13.6827          0.533488
           2.26667            10.518           11.5688          0.563991
           2.53333             6.168           9.76333          0.754477
               2.8             8.338           8.75375          0.441139
           3.06667             2.594           4.88592          0.367221
           3.33333             2.062            3.0895          0.298616
               3.6             1.538           1.90642          0.215741
           3.86667              0.05          0.777833          0.122736
           4.13333             1.344          0.382167         0.0907665
