#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
               702             28.88           13.1903          0.535258
               703             28.88           13.2126          0.534961
               704             38.72           13.2489          0.535427
               705             46.08           13.2954          0.536689
               706             38.72           13.3314          0.537136
               707             28.88           13.3534          0.536826
               708             25.92           13.3712          0.536361
               709             28.88           13.3931           0.53605
               710             25.92           13.4107          0.535586
               711             20.48           13.4206          0.534925
               712              9.68           13.4154          0.534199
               713                 8           13.4078          0.533504
               714              3.92           13.3945          0.532922
               715              1.28           13.3776          0.532446
               716                 0           13.3589           0.53203
               717              0.32           13.3407          0.531599
               718              0.72           13.3231          0.531149
               719                 2           13.3074          0.530644
               720              0.72           13.2899          0.530195
               721              0.72           13.2725          0.529746
               722              0.72           13.2551          0.529297
               723              0.72           13.2377          0.528849
               724              1.28           13.2212          0.528376
               725              1.28           13.2047          0.527904
               726              2.88           13.1905          0.527369
               727              0.32           13.1728           0.52694
               728              0.08           13.1548          0.526523
               729                 0           13.1368           0.52611
               730                 0           13.1188          0.525697
               731              0.32           13.1013           0.52527
               732              0.32           13.0838          0.524842
               733              0.32           13.0664          0.524415
               734              1.28           13.0504          0.523946
               735              3.92           13.0379          0.523381
               736              1.28            13.022          0.522913
               737              3.92           13.0096          0.522349
               738              2.88           12.9959          0.521822
               739              0.08           12.9784          0.521408
               740              1.28           12.9626          0.520943
               741              0.32           12.9455           0.52052
               742              0.08           12.9282          0.520107
               743              0.08           12.9109          0.519694
               744              3.92           12.8988          0.519136
               745              3.92           12.8868          0.518579
               746                 2           12.8722           0.51809
               747              0.72           12.8559          0.517651
               748              1.28           12.8404          0.517191
               749              2.88           12.8271          0.516671
               750              3.92           12.8153          0.516119
               751              1.28           12.7999           0.51566
               752              0.32           12.7833          0.515241
               753              0.72           12.7673          0.514806
               754                 2            12.753          0.514321
               755              6.48           12.7447          0.513707
               756                 8           12.7384          0.513066
               757              9.68           12.7344          0.512404
               758             11.52           12.7328           0.51173
               759              6.48           12.7245          0.511123
               760              5.12           12.7145          0.510548
               761              6.48           12.7063          0.509943
               762              5.12           12.6964          0.509371
               763              6.48           12.6882          0.508768
               764              6.48           12.6801          0.508167
               765              2.88           12.6673          0.507664
               766                 2           12.6534          0.507193
               767              5.12           12.6435          0.506626
               768              6.48           12.6355           0.50603
               769              5.12           12.6257          0.505467
               770              6.48           12.6178          0.504873
               771              3.92           12.6065          0.504344
               772              2.88           12.5939          0.503849
               773                 2           12.5802          0.503383
               774              1.28           12.5656          0.502944
               775                 2           12.5519           0.50248
               776              0.72           12.5367          0.502064
               777              1.28           12.5222          0.501627
               778              0.32           12.5065          0.501227
               779              0.08           12.4906          0.500837
               780                 0           12.4746          0.500451
               781              2.88           12.4623          0.499961
               782              2.88             12.45          0.499472
               783                 2           12.4367          0.499012
               784              3.92           12.4258          0.498494
               785              5.12           12.4165          0.497946
               786              5.12           12.4072          0.497399
               787                 2            12.394          0.496943
               788              1.28           12.3799          0.496512
               789              1.28           12.3658          0.496082
               790              1.28           12.3518          0.495653
               791              6.48           12.3444          0.495082
               792                 8           12.3389          0.494487
               793              6.48           12.3315          0.493919
               794                 2           12.3185          0.493468
               795              2.88           12.3066           0.49299
               796              5.12           12.2976          0.492453
               797             11.52           12.2966          0.491836
               798             15.68           12.3009          0.491238
               799             11.52           12.2999          0.490624
               800             11.52           12.2989          0.490012
               801              6.48           12.2916          0.489454
               802              1.28           12.2779          0.489036
               803                 2           12.2651          0.488595
               804              2.88           12.2534          0.488127
               805              3.92           12.2431           0.48763
               806              5.12           12.2342          0.487105
               807              5.12           12.2254          0.486581
               808              0.72           12.2112          0.486187
               809              2.88           12.1997          0.485723
               810              5.12           12.1909          0.485202
               811              3.92           12.1807          0.484711
               812              0.72           12.1666           0.48432
               813              0.08           12.1517          0.483952
               814              0.08           12.1369          0.483585
               815              0.32           12.1224          0.483209
               816              0.08           12.1076          0.482842
               817              0.32           12.0932          0.482466
               818              1.28             12.08          0.482058
               819              0.08           12.0653          0.481692
               820              0.08           12.0507          0.481326
               821              0.32           12.0364          0.480952
               822              2.88           12.0253          0.480495
               823              0.72           12.0116          0.480108
               824              0.08           11.9971          0.479744
               825              1.28           11.9841          0.479338
               826              0.32             11.97          0.478966
               827                 2           11.9579          0.478538
               828                 2           11.9459          0.478111
               829              3.92           11.9362          0.477633
               830                 8           11.9315          0.477081
               831              6.48           11.9249          0.476552
               832              6.48           11.9184          0.476024
               833                 8           11.9137          0.475476
               834              6.48           11.9071           0.47495
               835              5.12            11.899          0.474451
               836              5.12           11.8909          0.473953
