# VELOCITY:     SINGLE_BLOCK_AVE_POFV:       PROGRESSIVE_AVE_POFV:        ERROR:
        0.56       0.618     1.62531    0.261011
        0.72       1.004     2.08531    0.239246
        0.88       1.855     2.62019     0.26344
        1.04       3.868     3.33919    0.280308
         1.2       3.055     4.12869    0.343522
        1.36       5.399     5.12481    0.417199
        1.52       5.785     5.16825    0.203508
        1.68       5.077     5.57206    0.385231
        1.84       7.575     6.02338    0.350929
           2       7.453     6.92581    0.385828
        2.16       6.804     6.91931    0.304505
        2.32       7.957     7.24587    0.401946
        2.48       6.143       7.043    0.370118
        2.64       7.685     7.05125    0.325461
         2.8       7.665     6.73313    0.334512
        2.96       7.318     5.45825     0.32687
        3.12       7.662     4.40431    0.278325
        3.28       2.898     3.46725    0.250003
        3.44       1.747     3.03481    0.215427
         3.6       1.827     2.34894    0.172337
        3.76       0.706     1.56381    0.147153
        3.92       0.722     1.84825    0.178732
        4.08       0.896     1.35631     0.15731
        4.24       0.985     1.30281    0.207064
         4.4       2.309     1.00119    0.136398
        4.56       0.661    0.936875    0.181247
        4.72       0.526       0.592   0.0962347
        4.88       1.132    0.779188    0.161188
        5.04       0.292    0.363312   0.0997114
         5.2       0.275    0.192063   0.0359197
        5.36       0.007       0.179   0.0488832
        5.52       0.037    0.162875   0.0571571
        5.68        0.04     0.06575   0.0354288
        5.84           0   0.0285625   0.0258676
           6           0   0.0335625   0.0219201
        6.16           0   0.0061875  0.00376063
        6.32           0       0.008  0.00681279
        6.48           0     0.02825   0.0264002
        6.64           0   0.0101875  0.00798642
         6.8           0           0           0
        6.96           0           0           0
        7.12           0           0           0
