# DISTANCE:     SINGLE_BLOCK_AVE_GOFR:       PROGRESSIVE_AVE_GOFR:        ERROR:
           2.00067             120.5           131.624           3.80617
           2.02632            147.12           143.588           2.85093
           2.05197             135.2           142.876           6.78738
           2.07762            147.42           154.308           2.94007
           2.10327            161.68            160.32           2.73033
           2.12892            167.04           156.776            3.5456
           2.15457             155.5           153.212           1.87026
           2.18022            150.76           159.324           3.81163
           2.20587            142.76           156.588           6.16287
           2.23152            163.24           168.312           4.62555
           2.25717             155.4           168.036            4.0892
           2.28282            150.34             158.5           3.07655
           2.30847             159.3           162.912           4.94204
           2.33412            167.12           156.764           4.08766
           2.35977            149.12           153.332           4.25591
           2.38542            146.98           147.844           2.83951
           2.41107            154.12           150.716            2.0141
           2.43672            158.42           150.132           2.84813
           2.46237            152.94           145.092            2.6035
           2.48802             168.3           158.012            2.4535
           2.51366            153.22           160.328            1.7655
           2.53931            153.68           162.956           2.52647
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
          0.436044                 0                 0                 0
          0.461694                 0                 0                 0
          0.487343                 0                 0                 0
          0.512993                 0                 0                 0
          0.538642                 0                 0                 0
          0.564292                 0                 0                 0
          0.589942                 0                 0                 0
          0.615591                 0                 0                 0
          0.641241                 0                 0                 0
          0.666891                 0                 0                 0
           0.69254                 0                 0                 0
           0.71819                 0                 0                 0
           0.74384                 0                 0                 0
          0.769489                 0                 0                 0
          0.795139                 0                 0                 0
          0.820788                 0                 0                 0
          0.846438                 0                 0                 0
          0.872088                 0                 0                 0
          0.897737                 0          0.136667         0.0682181
          0.923387              1.78           2.36667          0.544113
          0.949037             12.52           10.2867          0.849505
          0.974686             36.98           31.0467           1.37771
           1.00034             47.02             52.36           2.12358
           1.02599             70.56           73.0233           1.50745
           1.05164             90.74           82.9767           2.67791
           1.07728             97.14           85.5467            2.5634
           1.10293             79.22           83.8367           3.06882
           1.12858             71.26           75.0167           1.50514
           1.15423             78.26           73.3267           2.35845
           1.17988              65.8           69.4367           2.27733
           1.20553             67.16           66.7033           2.03397
           1.23118             61.34           63.2567           2.06943
           1.25683              58.5             58.25           2.01023
           1.28248              51.7           54.3967           1.53513
           1.30813             45.18           48.1933           1.55083
           1.33378             38.48             46.57           1.57796
           1.35943             41.62             46.38           2.30609
           1.38508              34.5           45.8533           3.06251
           1.41073             42.78           47.6133           1.90052
           1.43638             45.44             47.03           3.15899
           1.46203             48.84           48.8433           1.32143
           1.48768             49.12           45.8733           1.58933
           1.51333             49.46           46.6133          0.787706
           1.53898             56.48             47.11           1.77477
           1.56463             54.08           45.6133           2.04949
           1.59028             49.94           44.8767           1.99953
           1.61593             48.06           50.6333            2.9486
           1.64158             52.58           51.4233           1.74467
           1.66723             48.48             55.79            2.7583
           1.69288             63.38           62.3133           1.35668
           1.71853             69.08              65.1           2.35479
           1.74418             72.04           65.8267           1.93585
           1.76983             74.78             70.61           1.50283
           1.79547             73.34           74.1933           1.01307
           1.82112             87.62           86.5167           2.19502
           1.84677             82.86           86.6933           1.89384
           1.87242             88.98              95.7           2.94743
           1.89807             100.9           100.593            1.9524
           1.92372             113.5           108.437           2.56859
           1.94937            133.38            117.49           3.34603
           1.97502             153.8           129.563           5.60579
           2.00067            125.92           130.673           3.28839
           2.02632            134.42            142.06           2.75499
           2.05197            136.72            141.85           5.73317
           2.07762            139.18           151.787            3.3616
           2.10327             158.3           159.983           2.29594
           2.12892            153.72           156.267           2.99103
           2.15457            168.26            155.72           2.76962
           2.18022            159.52           159.357            3.1765
           2.20587            150.12            155.51           5.22916
           2.23152            142.04           163.933           5.55296
           2.25717            154.78           165.827           3.95977
           2.28282            154.32           157.803            2.6415
           2.30847            156.56           161.853           4.23024
           2.33412             154.5           156.387           3.42376
           2.35977            158.64           154.217           3.63738
           2.38542             144.3           147.253           2.42691
           2.41107            149.78            150.56           1.68445
           2.43672            145.78           149.407           2.46407
           2.46237            141.64           144.517           2.23225
           2.48802            161.48            158.59           2.11157
           2.51366               165           161.107           1.63396
           2.53931            156.54           161.887           2.32068
                 0                 0                 0                 0
         0.0256496                 0                 0                 0
         0.0512993                 0                 0                 0
         0.0769489                 0                 0                 0
          0.102599                 0                 0                 0
          0.128248                 0                 0                 0
          0.153898                 0                 0                 0
          0.179547                 0                 0                 0
          0.205197                 0                 0                 0
          0.230847                 0                 0                 0
          0.256496                 0                 0                 0
          0.282146                 0                 0                 0
          0.307796                 0                 0                 0
          0.333445                 0                 0                 0
          0.359095                 0                 0                 0
          0.384745                 0                 0                 0
          0.410394                 0                 0                 0
